Titulo,Precio,Imagen
Cámara de seguridad Wi-Fi / Ethernet 3 Mpx robotizada con seguidor de movimiento para exterior,299.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/21831edde/camara-de-seguridad-wi-fi-ethernet-3-mpx-robotizada-con-seguidor-de-movimiento-para-exterior.jpg
Cámara de seguridad Wi-Fi Full HD robotizada con seguidor de movimiento,179.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/2095447d6/camara-de-seguridad-wi-fi-full-hd-robotizada-con-seguidor-de-movimiento.jpg
Cámara de seguridad Wi-Fi* 3 Mpx robotizada con seguidor de movimiento para socket,199.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/2240871ee/camara-de-seguridad-wi-fi-3-mpx-robotizada-con-seguidor-de-movimiento-para-socket.jpg
Cámara de seguridad Wi-Fi Full HD fija,139.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/21410d857/camara-de-seguridad-wi-fi-full-hd-fija.jpg
Cámara de seguridad Wi-Fi* / Ethernet 3 MPx robotizada con seguidor de movimiento,219.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/218710522/camara-de-seguridad-wi-fi-ethernet-3-mpx-robotizada-con-seguidor-de-movimiento.jpg
Cámara de seguridad Wi-Fi 3 Mpx fija para exterior tipo bala,199.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/226648213/camara-de-seguridad-wi-fi-3-mpx-fija-para-exterior-tipo-bala.jpg
Cámara de seguridad Wi-Fi Full HD fija con batería recargable,379.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/218302b83/camara-de-seguridad-wi-fi-full-hd-fija-con-bateria-recargable.jpg
"Sistema de seguridad CCTV con DVR pentahíbrido de 12 canales, 4 cámaras, disco duro y monitoreo por Internet",1.679.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/2265626ef/sistema-de-seguridad-cctv-con-dvr-pentahibrido-de-12-canales-4-camaras-disco-duro-y-monitoreo-por-internet.jpg
"Sistema de seguridad CCTV con DVR pentahíbrido de 6 canales, 4 cámaras, disco duro y monitoreo por Internet",1.519.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/22657aaef/sistema-de-seguridad-cctv-con-dvr-pentahibrido-de-6-canales-4-camaras-disco-duro-y-monitoreo-por-internet.jpg
"Cámara de seguridad Wi-Fi* / Ethernet Full HD fija con reflector LED, compatible con asistentes de voz",189.900,https://www.steren.com.co/media/catalog/product/cache/92457bf2b5977fff7efe99bd6badebc6/image/21837c57d/camara-de-seguridad-wi-fi-ethernet-full-hd-fija-con-reflector-led-compatible-con-asistentes-de-voz.jpg
